
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 25-Apr-2019 17:41:52 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align_protossOG.txt --outgroup Protoss_OG --model MULTI6_MK --bs-trees 1000 --prefix BootstrapConcat_OG_P --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align_protossOG.txt
[00:00:00] Loaded alignment with 33 taxa and 70 sites

Alignment comprises 1 partitions and 62 patterns

Partition 0: noname
Model: MULTI6_MK
Alignment sites / patterns: 70 / 62
Gaps: 0.00 %
Invariant sites: 1.43 %


NOTE: Binary MSA file created: BootstrapConcat_OG_P.raxml.rba
[00:02:32] Bootstrap tree #174, logLikelihood: -2043.199758
[00:02:33] Bootstrap tree #175, logLikelihood: -2021.773569
[00:02:34] Bootstrap tree #176, logLikelihood: -2170.819128
[00:02:34] Bootstrap tree #177, logLikelihood: -2251.778134
[00:02:35] Bootstrap tree #178, logLikelihood: -2000.665498
[00:02:37] Bootstrap tree #179, logLikelihood: -2140.995728
[00:02:37] Bootstrap tree #180, logLikelihood: -2105.829810
[00:02:38] Bootstrap tree #181, logLikelihood: -2020.629293
[00:02:39] Bootstrap tree #182, logLikelihood: -1994.940476
[00:02:40] Bootstrap tree #183, logLikelihood: -2056.607913
[00:02:41] Bootstrap tree #184, logLikelihood: -1876.791631
[00:02:42] Bootstrap tree #185, logLikelihood: -2227.234817
[00:02:44] Bootstrap tree #186, logLikelihood: -2161.102465
[00:02:44] Bootstrap tree #187, logLikelihood: -2220.272650
[00:02:45] Bootstrap tree #188, logLikelihood: -1920.471984
[00:02:46] Bootstrap tree #189, logLikelihood: -2101.175125
[00:02:46] Bootstrap tree #190, logLikelihood: -2053.430073
[00:02:47] Bootstrap tree #191, logLikelihood: -1974.335488
[00:02:48] Bootstrap tree #192, logLikelihood: -2012.230106
[00:02:49] Bootstrap tree #193, logLikelihood: -1948.250894
[00:02:50] Bootstrap tree #194, logLikelihood: -2219.609867
[00:02:51] Bootstrap tree #195, logLikelihood: -2037.374658
[00:02:52] Bootstrap tree #196, logLikelihood: -2015.319746
[00:02:52] Bootstrap tree #197, logLikelihood: -2069.222475
[00:02:54] Bootstrap tree #198, logLikelihood: -2239.348367
[00:02:54] Bootstrap tree #199, logLikelihood: -1913.900835
[00:02:55] Bootstrap tree #200, logLikelihood: -2058.183479
[00:02:57] Bootstrap tree #201, logLikelihood: -2204.074615
[00:02:58] Bootstrap tree #202, logLikelihood: -2222.464797
[00:02:59] Bootstrap tree #203, logLikelihood: -2012.880987
[00:03:00] Bootstrap tree #204, logLikelihood: -2102.511042
[00:03:00] Bootstrap tree #205, logLikelihood: -2138.628055
[00:03:01] Bootstrap tree #206, logLikelihood: -1906.416421
[00:03:02] Bootstrap tree #207, logLikelihood: -1986.514844
[00:03:02] Bootstrap tree #208, logLikelihood: -2124.783551
[00:03:04] Bootstrap tree #209, logLikelihood: -1962.221024
[00:03:05] Bootstrap tree #210, logLikelihood: -2149.575801
[00:03:06] Bootstrap tree #211, logLikelihood: -2120.351569
[00:03:07] Bootstrap tree #212, logLikelihood: -2003.120381
[00:03:08] Bootstrap tree #213, logLikelihood: -2128.211121
[00:03:08] Bootstrap tree #214, logLikelihood: -1931.459336
[00:03:09] Bootstrap tree #215, logLikelihood: -2124.783837
[00:03:10] Bootstrap tree #216, logLikelihood: -2031.568389
[00:03:10] Bootstrap tree #217, logLikelihood: -1657.204592
[00:03:11] Bootstrap tree #218, logLikelihood: -2245.628359
[00:03:12] Bootstrap tree #219, logLikelihood: -2169.508537
[00:03:13] Bootstrap tree #220, logLikelihood: -2031.997684
[00:03:14] Bootstrap tree #221, logLikelihood: -2111.197433
[00:03:16] Bootstrap tree #222, logLikelihood: -2020.434867
[00:03:18] Bootstrap tree #223, logLikelihood: -2086.589944
[00:03:19] Bootstrap tree #224, logLikelihood: -2058.840732
[00:03:19] Bootstrap tree #225, logLikelihood: -2197.031480
[00:03:20] Bootstrap tree #226, logLikelihood: -2048.414611
[00:03:21] Bootstrap tree #227, logLikelihood: -2169.188040
[00:03:22] Bootstrap tree #228, logLikelihood: -2104.643115
[00:03:24] Bootstrap tree #229, logLikelihood: -2197.858669
[00:03:25] Bootstrap tree #230, logLikelihood: -2220.815620
[00:03:26] Bootstrap tree #231, logLikelihood: -2064.245523
[00:03:26] Bootstrap tree #232, logLikelihood: -1968.132343
[00:03:27] Bootstrap tree #233, logLikelihood: -2062.408746
[00:03:28] Bootstrap tree #234, logLikelihood: -2175.021507
[00:03:29] Bootstrap tree #235, logLikelihood: -2201.525384
[00:03:29] Bootstrap tree #236, logLikelihood: -2082.434282
[00:03:30] Bootstrap tree #237, logLikelihood: -2081.337167
[00:03:31] Bootstrap tree #238, logLikelihood: -2009.567303
