
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 05:03:38 as follows:

raxml-ng --bootstrap --msa Tolkien_arche_align_zergOG.txt --outgroup Zerg_OG --model MULTI7_MK --bs-trees 1000 --prefix BootstrapArcheZergOG --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_arche_align_zergOG.txt
[00:00:00] Loaded alignment with 33 taxa and 18 sites

Alignment comprises 1 partitions and 18 patterns

Partition 0: noname
Model: MULTI7_MK
Alignment sites / patterns: 18 / 18
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapArcheZergOG.raxml.rba
[00:02:16] Bootstrap tree #230, logLikelihood: -579.721490
[00:02:16] Bootstrap tree #231, logLikelihood: -601.710744
[00:02:17] Bootstrap tree #232, logLikelihood: -552.565116
[00:02:17] Bootstrap tree #233, logLikelihood: -582.453440
[00:02:18] Bootstrap tree #234, logLikelihood: -531.948945
[00:02:19] Bootstrap tree #235, logLikelihood: -575.859797
[00:02:20] Bootstrap tree #236, logLikelihood: -597.742566
[00:02:20] Bootstrap tree #237, logLikelihood: -561.795855
[00:02:21] Bootstrap tree #238, logLikelihood: -543.429273
[00:02:21] Bootstrap tree #239, logLikelihood: -548.757069
[00:02:22] Bootstrap tree #240, logLikelihood: -599.161206
[00:02:22] Bootstrap tree #241, logLikelihood: -572.494966
[00:02:23] Bootstrap tree #242, logLikelihood: -545.547602
[00:02:23] Bootstrap tree #243, logLikelihood: -624.540328
[00:02:25] Bootstrap tree #244, logLikelihood: -577.323494
[00:02:25] Bootstrap tree #245, logLikelihood: -589.554565
[00:02:26] Bootstrap tree #246, logLikelihood: -582.256052
[00:02:27] Bootstrap tree #247, logLikelihood: -531.124933
[00:02:27] Bootstrap tree #248, logLikelihood: -615.255951
[00:02:28] Bootstrap tree #249, logLikelihood: -617.235142
[00:02:29] Bootstrap tree #250, logLikelihood: -594.990967
[00:02:30] Bootstrap tree #251, logLikelihood: -615.658614
[00:02:31] Bootstrap tree #252, logLikelihood: -566.273390
[00:02:31] Bootstrap tree #253, logLikelihood: -612.664523
[00:02:32] Bootstrap tree #254, logLikelihood: -575.385385
[00:02:32] Bootstrap tree #255, logLikelihood: -468.862157
[00:02:33] Bootstrap tree #256, logLikelihood: -573.386792
[00:02:34] Bootstrap tree #257, logLikelihood: -599.694103
[00:02:34] Bootstrap tree #258, logLikelihood: -613.609214
[00:02:35] Bootstrap tree #259, logLikelihood: -582.705898
[00:02:36] Bootstrap tree #260, logLikelihood: -599.751415
[00:02:36] Bootstrap tree #261, logLikelihood: -580.728172
[00:02:37] Bootstrap tree #262, logLikelihood: -532.751427
[00:02:38] Bootstrap tree #263, logLikelihood: -657.663808
[00:02:38] Bootstrap tree #264, logLikelihood: -579.909847
[00:02:39] Bootstrap tree #265, logLikelihood: -588.747848
[00:02:39] Bootstrap tree #266, logLikelihood: -636.359075
[00:02:40] Bootstrap tree #267, logLikelihood: -577.015408
[00:02:41] Bootstrap tree #268, logLikelihood: -604.942585
[00:02:41] Bootstrap tree #269, logLikelihood: -600.255238
[00:02:42] Bootstrap tree #270, logLikelihood: -615.320526
[00:02:42] Bootstrap tree #271, logLikelihood: -555.346219
[00:02:43] Bootstrap tree #272, logLikelihood: -588.621584
[00:02:44] Bootstrap tree #273, logLikelihood: -573.548539
[00:02:45] Bootstrap tree #274, logLikelihood: -578.588389
[00:02:45] Bootstrap tree #275, logLikelihood: -585.518189
[00:02:46] Bootstrap tree #276, logLikelihood: -536.355879
[00:02:46] Bootstrap tree #277, logLikelihood: -558.924306
[00:02:47] Bootstrap tree #278, logLikelihood: -525.835213
[00:02:48] Bootstrap tree #279, logLikelihood: -559.156611
[00:02:48] Bootstrap tree #280, logLikelihood: -535.138223
[00:02:49] Bootstrap tree #281, logLikelihood: -572.010013
[00:02:50] Bootstrap tree #282, logLikelihood: -568.454013
[00:02:50] Bootstrap tree #283, logLikelihood: -551.343804
[00:02:51] Bootstrap tree #284, logLikelihood: -532.646181
[00:02:51] Bootstrap tree #285, logLikelihood: -435.012794
[00:02:52] Bootstrap tree #286, logLikelihood: -632.030348
[00:02:53] Bootstrap tree #287, logLikelihood: -602.522547
[00:02:53] Bootstrap tree #288, logLikelihood: -581.555071
[00:02:54] Bootstrap tree #289, logLikelihood: -554.629835
[00:02:55] Bootstrap tree #290, logLikelihood: -567.543042
[00:02:55] Bootstrap tree #291, logLikelihood: -623.352504
