
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 03:44:37 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align.txt --outgroup Zerg_OG,Tyranids_OG,Xenomorphs_OG --model MULTI8_MK --bs-trees 1000 --prefix BootstrapConcat --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align.txt
[00:00:00] Loaded alignment with 36 taxa and 70 sites

Alignment comprises 1 partitions and 68 patterns

Partition 0: noname
Model: MULTI8_MK
Alignment sites / patterns: 70 / 68
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapConcat.raxml.rba
[00:05:42] Bootstrap tree #269, logLikelihood: -2591.039122
[00:05:44] Bootstrap tree #270, logLikelihood: -2457.859513
[00:05:45] Bootstrap tree #271, logLikelihood: -2422.687170
[00:05:46] Bootstrap tree #272, logLikelihood: -2495.146816
[00:05:47] Bootstrap tree #273, logLikelihood: -2190.612018
[00:05:48] Bootstrap tree #274, logLikelihood: -2164.930660
[00:05:49] Bootstrap tree #275, logLikelihood: -2386.352233
[00:05:51] Bootstrap tree #276, logLikelihood: -2194.630284
[00:05:52] Bootstrap tree #277, logLikelihood: -2526.416002
[00:05:53] Bootstrap tree #278, logLikelihood: -2469.405376
[00:05:55] Bootstrap tree #279, logLikelihood: -2744.461720
[00:05:55] Bootstrap tree #280, logLikelihood: -2490.546623
[00:05:57] Bootstrap tree #281, logLikelihood: -2441.983579
[00:05:58] Bootstrap tree #282, logLikelihood: -2587.987112
[00:05:59] Bootstrap tree #283, logLikelihood: -2462.241651
[00:06:00] Bootstrap tree #284, logLikelihood: -2619.055555
[00:06:02] Bootstrap tree #285, logLikelihood: -2314.662391
[00:06:03] Bootstrap tree #286, logLikelihood: -2642.838212
[00:06:05] Bootstrap tree #287, logLikelihood: -2368.781744
[00:06:06] Bootstrap tree #288, logLikelihood: -2351.340278
[00:06:07] Bootstrap tree #289, logLikelihood: -2412.083894
[00:06:08] Bootstrap tree #290, logLikelihood: -2398.980284
[00:06:10] Bootstrap tree #291, logLikelihood: -2391.644779
[00:06:12] Bootstrap tree #292, logLikelihood: -2495.646198
[00:06:13] Bootstrap tree #293, logLikelihood: -2514.684085
[00:06:14] Bootstrap tree #294, logLikelihood: -2391.111834
[00:06:16] Bootstrap tree #295, logLikelihood: -2401.195202
[00:06:17] Bootstrap tree #296, logLikelihood: -2537.522774
[00:06:18] Bootstrap tree #297, logLikelihood: -2424.803309
[00:06:21] Bootstrap tree #298, logLikelihood: -2405.333843
[00:06:22] Bootstrap tree #299, logLikelihood: -2351.257221
[00:06:23] Bootstrap tree #300, logLikelihood: -2581.169544
[00:06:24] Bootstrap tree #301, logLikelihood: -2595.441578
[00:06:24] Bootstrap tree #302, logLikelihood: -2298.960674
[00:06:25] Bootstrap tree #303, logLikelihood: -2426.609541
[00:06:27] Bootstrap tree #304, logLikelihood: -2405.853656
[00:06:28] Bootstrap tree #305, logLikelihood: -2478.814744
[00:06:29] Bootstrap tree #306, logLikelihood: -2395.610057
[00:06:31] Bootstrap tree #307, logLikelihood: -2413.318520
[00:06:32] Bootstrap tree #308, logLikelihood: -2453.875745
[00:06:33] Bootstrap tree #309, logLikelihood: -2617.909403
[00:06:34] Bootstrap tree #310, logLikelihood: -2559.938693
[00:06:35] Bootstrap tree #311, logLikelihood: -2595.371452
[00:06:36] Bootstrap tree #312, logLikelihood: -2532.223160
[00:06:38] Bootstrap tree #313, logLikelihood: -2346.279385
[00:06:39] Bootstrap tree #314, logLikelihood: -2551.140868
[00:06:41] Bootstrap tree #315, logLikelihood: -2525.445733
[00:06:42] Bootstrap tree #316, logLikelihood: -2590.796130
[00:06:43] Bootstrap tree #317, logLikelihood: -2429.564513
[00:06:46] Bootstrap tree #318, logLikelihood: -2374.565779
[00:06:47] Bootstrap tree #319, logLikelihood: -2318.575210
[00:06:48] Bootstrap tree #320, logLikelihood: -2537.363832
[00:06:50] Bootstrap tree #321, logLikelihood: -2487.142349
[00:06:51] Bootstrap tree #322, logLikelihood: -2624.179276
[00:06:53] Bootstrap tree #323, logLikelihood: -2337.039878
[00:06:54] Bootstrap tree #324, logLikelihood: -2656.888617
[00:06:55] Bootstrap tree #325, logLikelihood: -2414.691542
[00:06:56] Bootstrap tree #326, logLikelihood: -2662.976519
[00:06:58] Bootstrap tree #327, logLikelihood: -2475.350148
[00:07:00] Bootstrap tree #328, logLikelihood: -2460.315187
[00:07:01] Bootstrap tree #329, logLikelihood: -2216.985048
[00:07:02] Bootstrap tree #330, logLikelihood: -2397.288948
[00:07:03] Bootstrap tree #331, logLikelihood: -2417.151961
[00:07:04] Bootstrap tree #332, logLikelihood: -2489.895513
[00:07:05] Bootstrap tree #333, logLikelihood: -2407.846722
[00:07:06] Bootstrap tree #334, logLikelihood: -2541.874178
[00:07:08] Bootstrap tree #335, logLikelihood: -2365.756708
[00:07:09] Bootstrap tree #336, logLikelihood: -2473.981329
[00:07:10] Bootstrap tree #337, logLikelihood: -2464.596710
[00:07:11] Bootstrap tree #338, logLikelihood: -2536.384828
[00:07:12] Bootstrap tree #339, logLikelihood: -2694.120190
[00:07:13] Bootstrap tree #340, logLikelihood: -2407.424680
[00:07:15] Bootstrap tree #341, logLikelihood: -2519.279967
[00:07:16] Bootstrap tree #342, logLikelihood: -2403.680443
[00:07:17] Bootstrap tree #343, logLikelihood: -2478.898650
[00:07:18] Bootstrap tree #344, logLikelihood: -2549.523487
[00:07:20] Bootstrap tree #345, logLikelihood: -2456.562962
[00:07:22] Bootstrap tree #346, logLikelihood: -2405.058146
[00:07:23] Bootstrap tree #347, logLikelihood: -2554.141683
[00:07:25] Bootstrap tree #348, logLikelihood: -2505.811907
[00:07:26] Bootstrap tree #349, logLikelihood: -2271.413224
[00:07:27] Bootstrap tree #350, logLikelihood: -2437.344643
[00:07:28] Bootstrap tree #351, logLikelihood: -2408.531256
[00:07:29] Bootstrap tree #352, logLikelihood: -2538.964965
[00:07:30] Bootstrap tree #353, logLikelihood: -2531.898956
[00:07:31] Bootstrap tree #354, logLikelihood: -2657.820269
[00:07:32] Bootstrap tree #355, logLikelihood: -2408.075681
